,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
17,Audi, TT,"£2,995",2007,Manual,36.2 mpg,Tax: £365,"Mileage: 74,259",Petrol,beige,2.0 TFSI Roadster 2dr Petrol Manual Euro 4 (200 ps)
18,Audi, RS4,"£76,991",2023,Automatic,28.8 mpg,Tax: £180,Mileage: 49,Petrol,beige,2.9 TFSI V6 Competition
19,Audi, A1,"£14,990",2016,Automatic,58.9 mpg,Tax: £35,"Mileage: 27,956",Petrol,beige,SPORTBACK TFSI S LINE
20,Audi, A4,"£2,000",2002,Automatic,35.8 mpg,Tax: £315,"Mileage: 87,200",Petrol,beige,4 2.0 SE 4dr Multitronic
21,Audi, TT,"£7,995",2011,Manual,42.8 mpg,Tax: £220,"Mileage: 85,276",Petrol,beige,2.0 TFSI SPORT 2d 211 BHP
22,Audi, A5,"£24,450",2018,Automatic,36.7 mpg,Tax: £180,"Mileage: 49,000",Petrol,beige,3.0 S5 TFSI QUATTRO 2d 349 BHP
23,Audi, Q5,"£29,850",2020,Semi-Auto,117.7 mpg,Tax: £170,"Mileage: 11,570",Other,beige,2.0 TFSI E S LINE QUATTRO 5d 295 BHP VAT QUALIFYING 
198,Audi, A5,"£24,450",2018,Automatic,36.7 mpg,Tax: £180,"Mileage: 49,000",Petrol,black,3.0 S5 TFSI QUATTRO 2d 349 BHP
199,Audi, Q5,"£29,850",2020,Semi-Auto,117.7 mpg,Tax: £170,"Mileage: 11,570",Other,black,2.0 TFSI E S LINE QUATTRO 5d 295 BHP VAT QUALIFYING 
200,Audi, Q3,"£29,995",2020,Semi-Auto,40.4 mpg,Tax: £170,"Mileage: 17,060",Petrol,black,35 TFSI S Line 5dr S Tronic
201,Audi, A6,"£25,799",2020,Other,34.9 mpg,Tax: £170,"Mileage: 12,947",Petrol,black,45 TFSI Quattro Sport 4dr S Tronic [Tech Pack]
202,Audi, A5,"£21,199",2019,Other,47.1 mpg,Tax: £180,"Mileage: 15,481",Diesel,black,40 TDI S Line 2dr S Tronic
203,Audi, A4,"£20,849",2020,Other,45.6 mpg,Tax: £170,"Mileage: 16,678",Petrol,black,35 TFSI Technik 4dr S Tronic
204,Audi, A3,"£17,449",2019,Other,43.5 mpg,Tax: £180,"Mileage: 17,662",Petrol,black,35 TFSI SE Technik 5dr
205,Audi, A3,"£16,799",2019,Other,47.1 mpg,Tax: £180,"Mileage: 18,142",Petrol,black,30 TFSI 116 S Line 5dr
291,Audi, Q2,"£17,599",2019,Other,42.8 mpg,Tax: £180,"Mileage: 18,672",Petrol,black,35 TFSI Sport 5dr
292,Audi, Q2,"£20,399",2020,Other,43.5 mpg,Tax: £180,"Mileage: 18,863",Petrol,black,35 TFSI S Line 5dr
293,Audi, A3,"£21,599",2020,Other,48.7 mpg,Tax: £170,"Mileage: 20,063",Petrol,black,35 TFSI Sport 5dr S Tronic
294,Audi, Q2,"£17,249",2020,Other,47.1 mpg,Tax: £180,"Mileage: 20,176",Petrol,black,30 TFSI Sport 5dr
295,Audi, A3,"£13,199",2017,Other,62.8 mpg,Tax: £180,"Mileage: 21,251",Petrol,black,1.0 TFSI SE 5dr
296,Audi, Q2,"£17,449",2019,Other,47.1 mpg,Tax: £180,"Mileage: 21,426",Petrol,black,30 TFSI Sport 5dr [Tech pack]
297,Audi, A3,"£19,149",2020,Other,65.7 mpg,Tax: £180,"Mileage: 23,194",Diesel,black,30 TDI Technik 5dr
298,Audi, A3,"£14,399",2019,Other,48.7 mpg,Tax: £180,"Mileage: 24,045",Petrol,black,30 TFSI 116 SE Technik 5dr
299,Audi, A3,"£14,599",2019,Other,48.7 mpg,Tax: £180,"Mileage: 24,438",Petrol,black,30 TFSI 116 SE Technik 5dr
