,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
24,BMW, 2 Series,"£16,700",2019,Automatic,50.4 mpg,Tax: £180,"Mileage: 10,662",Petrol,beige,"2.0 220i GPF Sport MPV 5dr Petrol DCT Euro 6 (s/s) (192 ps) Apple CarPlay,Bluetooth"
25,BMW, 2 Series,"£17,295",2020,Semi-Auto,50.4 mpg,Tax: £180,"Mileage: 9,766",Petrol,beige,220i SE 5dr DCT
26,BMW, X1,"£19,349",2019,Automatic,50.4 mpg,Tax: £180,"Mileage: 37,934",Diesel,beige,1 2.0 18d xLine SUV 5dr Diesel Auto sDrive Euro 6 (s/s) (150 ps)
27,BMW, X1,"£23,490",2020,Automatic,39.8 mpg,Tax: £180,"Mileage: 34,000",Petrol,beige,1 2.0 XDRIVE20I XLINE 5d AUTO 190 BHP
28,BMW, 3 Series,"£13,999",2016,Other,62.8 mpg,Tax: £150,"Mileage: 55,748",Diesel,beige,320d xDrive Sport 4dr Step Auto
29,BMW, 2 Series,"£19,995",2018,Automatic,36.7 mpg,Tax: £180,"Mileage: 3,500",Petrol,beige,220I LUXURY GRAN TOURER
30,BMW, 4 Series,"£25,950",2015,Automatic,32.5 mpg,Tax: £360,"Mileage: 33,727",Petrol,beige,3.0 BiTurbo DCT Euro 6 (s/s) 2dr
31,BMW, 4 Series,"£27,990",2017,Automatic,32.5 mpg,Tax: £395,"Mileage: 42,000",Petrol,beige,3.0 M4 2d 426 BHP
32,BMW, M3,"£34,995",2018,Automatic,34.0 mpg,Tax: £180,"Mileage: 50,500",Petrol,beige,3 3.0 M3 Saloon Competition Package
206,BMW, 4 Series,"£29,950",2021,Automatic,38.2 mpg,Tax: £180,"Mileage: 20,955",Petrol,black,2.0 430I M SPORT 2d 242 BHP
207,BMW, 1 Series,"£16,550",2019,Automatic,43.5 mpg,Tax: £180,"Mileage: 21,000",Petrol,black,1.5 118I SE 5d 139 BHP
208,BMW, X5,"£41,750",2020,Automatic,188.3 mpg,Tax: £170,"Mileage: 43,546",Other,black,3.0 XDRIVE45E M SPORT 5d 389 BHP VAT QUALIFYING 
209,BMW, X2,"£24,799",2020,Other,42.2 mpg,Tax: £180,"Mileage: 7,241",Petrol,black,sDrive 18i M Sport 5dr Step Auto
210,BMW, 1 Series,"£22,349",2020,Other,41.5 mpg,Tax: £180,"Mileage: 10,535",Petrol,black,118i M Sport 5dr [Tech Pack]
211,BMW, 1 Series,"£13,399",2017,Other,68.9 mpg,Tax: £180,"Mileage: 15,477",Diesel,black,118d Sport 3dr [Nav]
212,BMW, 2 Series,"£18,999",2020,Other,49.6 mpg,Tax: £180,"Mileage: 16,161",Diesel,black,220d xDrive Luxury 5dr Step Auto
213,BMW, 2 Series,"£16,349",2018,Other,47.1 mpg,Tax: £180,"Mileage: 17,440",Petrol,black,218i M Sport 2dr [Nav]
214,BMW, 1 Series,"£16,799",2019,Other,44.8 mpg,Tax: £180,"Mileage: 17,573",Petrol,black,118i SE 5dr
301,BMW, 4 Series,"£19,949",2020,Other,48.7 mpg,Tax: £180,"Mileage: 20,156",Petrol,black,420i M Sport 2dr Auto [Professional Media]
302,BMW, X1,"£23,199",2020,Other,48.7 mpg,Tax: £180,"Mileage: 21,001",Petrol,black,sDrive 20i M Sport 5dr Step Auto
303,BMW, 5 Series,"£22,049",2019,Other,50.4 mpg,Tax: £180,"Mileage: 21,192",Petrol,black,520i M Sport 4dr Auto
304,BMW, 4 Series,"£18,749",2018,Other,62.8 mpg,Tax: £180,"Mileage: 22,922",Diesel,black,420d [190] M Sport 5dr [Professional Media]
305,BMW, 2 Series,"£19,699",2020,Other,50.4 mpg,Tax: £180,"Mileage: 23,107",Petrol,black,218i M Sport 2dr [Nav] Step Auto
306,BMW, 2 Series,"£19,599",2020,Other,50.4 mpg,Tax: £180,"Mileage: 23,245",Petrol,black,218i M Sport 2dr [Nav] Step Auto
307,BMW, X2,"£17,449",2019,Other,55.4 mpg,Tax: £180,"Mileage: 24,301",Diesel,black,sDrive 18d SE 5dr
308,BMW, 2 Series,"£16,699",2018,Other,48.7 mpg,Tax: £180,"Mileage: 24,353",Petrol,black,218i M Sport 2dr [Nav] Step Auto
398,BMW, 2 Series,"£19,599",2020,Other,50.4 mpg,Tax: £180,"Mileage: 23,245",Petrol,black,218i M Sport 2dr [Nav] Step Auto
399,BMW, X2,"£17,449",2019,Other,55.4 mpg,Tax: £180,"Mileage: 24,301",Diesel,black,sDrive 18d SE 5dr
400,BMW, 2 Series,"£16,699",2018,Other,48.7 mpg,Tax: £180,"Mileage: 24,353",Petrol,black,218i M Sport 2dr [Nav] Step Auto
401,BMW, 1 Series,"£17,499",2020,Other,44.8 mpg,Tax: £180,"Mileage: 24,488",Petrol,black,118i SE 5dr
402,BMW, 1 Series,"£19,949",2019,Other,40.4 mpg,Tax: £180,"Mileage: 24,858",Petrol,black,118i M Sport 5dr Step Auto
403,BMW, X2,"£18,899",2019,Other,49.6 mpg,Tax: £180,"Mileage: 24,997",Diesel,black,xDrive 18d SE 5dr Step Auto
404,BMW, 5 Series,"£22,699",2019,Other,49.6 mpg,Tax: £180,"Mileage: 25,476",Diesel,black,520d M Sport 4dr Auto
405,BMW, 2 Series,"£18,549",2018,Other,36.7 mpg,Tax: £180,"Mileage: 26,239",Petrol,black,220i M Sport 2dr [Nav] Step Auto
406,BMW, 3 Series,"£24,049",2019,Other,52.3 mpg,Tax: £180,"Mileage: 26,311",Diesel,black,320d M Sport 4dr Step Auto
407,BMW, 1 Series,"£19,049",2020,Other,54.3 mpg,Tax: £180,"Mileage: 27,838",Diesel,black,116d M Sport 5dr
495,BMW, 3 Series,"£22,549",2020,Other,64.2 mpg,Tax: £180,"Mileage: 27,899",Diesel,black,318d M Sport 4dr
496,BMW, 1 Series,"£21,549",2020,Other,40.4 mpg,Tax: £180,"Mileage: 27,927",Petrol,black,118i M Sport 5dr Step Auto
