,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
33,Citroen, C1,"£10,049",2021,Other,58.9 mpg,Tax: £180,"Mileage: 6,822",Petrol,beige,1.0 VTi 72 Shine 5dr
34,Citroen, C3,"£11,999",2018,Other,56.5 mpg,Tax: £180,"Mileage: 11,255",Petrol,beige,AIRCROSS 1.2 PureTech 110 Flair 5dr
35,Citroen, C1,"£8,749",2018,Other,68.9 mpg,Tax: £180,"Mileage: 21,217",Petrol,beige,1.0 VTi 72 ELLE 5dr
36,Citroen, C3,"£11,749",2017,Other,70.6 mpg,Tax: £180,"Mileage: 23,941",Diesel,beige,AIRCROSS 1.6 BlueHDi Flair 5dr
37,Citroen, C3,"£11,799",2019,Other,51.4 mpg,Tax: £180,"Mileage: 39,201",Petrol,beige,AIRCROSS 1.2 PureTech 110 Flair 5dr [6 speed]
38,Citroen, C3,"£11,599",2021,Other,70.6 mpg,Tax: £180,"Mileage: 39,880",Diesel,beige,1.5 BlueHDi Shine Plus 5dr
39,Citroen, C4,"£14,299",2019,Other,68.9 mpg,Tax: £180,"Mileage: 48,410",Diesel,beige,SPACETOURER 1.5 BlueHDi 130 Flair 5dr
40,Citroen, C4,"£12,949",2019,Other,68.9 mpg,Tax: £180,"Mileage: 60,846",Diesel,beige,SPACETOURER 1.5 BlueHDi 130 Touch Edition 5dr
41,Citroen, C1,"£9,549",2020,Other,58.9 mpg,Tax: £180,"Mileage: 7,918",Petrol,beige,1.0 VTi 72 Feel 5dr
42,Citroen, C3,"£14,668",2019,Semi-Auto,49.6 mpg,Tax: £180,"Mileage: 3,363",Petrol,beige,3 1.2 PureTech 110 Flair 5dr EAT6
215,Citroen, C3,"£11,949",2021,Other,54.3 mpg,Tax: £180,"Mileage: 3,370",Petrol,black,1.2 PureTech Shine 5dr
216,Citroen, C3,"£11,249",2019,Other,46.6 mpg,Tax: £180,"Mileage: 6,611",Petrol,black,1.2 PureTech 82 Feel Nav Edition 5dr
217,Citroen, Grand C4 Picasso,"£17,999",2018,Other,68.9 mpg,Tax: £180,"Mileage: 6,688",Diesel,black,1.6 BlueHDi Flair 5dr EAT6
218,Citroen, C3,"£14,499",2021,Other,50.4 mpg,Tax: £180,"Mileage: 13,451",Petrol,black,1.2 PureTech 110 Shine 5dr EAT6
219,Citroen, C3,"£14,599",2019,Other,47.1 mpg,Tax: £180,"Mileage: 16,061",Petrol,black,AIRCROSS 1.2 PureTech 130 Flair 5dr EAT6
220,Citroen, C4,"£16,649",2021,Other,50.4 mpg,Tax: £180,"Mileage: 16,427",Petrol,black,1.2 PureTech [130] Shine 5dr Auto
221,Citroen, C3,"£11,299",2020,Other,51.4 mpg,Tax: £180,"Mileage: 18,237",Petrol,black,1.2 PureTech 83 Flair Plus 5dr
222,Citroen, C3,"£11,599",2020,Other,51.4 mpg,Tax: £180,"Mileage: 18,397",Petrol,black,1.2 PureTech 83 Flair Plus 5dr
223,Citroen, C4 Picasso,"£13,499",2017,Other,74.3 mpg,Tax: £180,"Mileage: 19,962",Diesel,black,1.6 BlueHDi Flair 5dr
309,Citroen, C3,"£10,749",2019,Other,46.6 mpg,Tax: £180,"Mileage: 21,374",Petrol,black,1.2 PureTech 82 Feel Nav Edition 5dr
310,Citroen, C5 Aircross,"£15,499",2020,Other,55.4 mpg,Tax: £180,"Mileage: 21,730",Diesel,black,1.5 BlueHDi 130 Flair Plus 5dr
311,Citroen, C3,"£12,699",2021,Other,54.3 mpg,Tax: £180,"Mileage: 21,870",Petrol,black,1.2 PureTech Shine Plus 5dr
312,Citroen, C3,"£10,999",2020,Other,51.4 mpg,Tax: £180,"Mileage: 23,147",Petrol,black,1.2 PureTech 83 Origins 5dr
313,Citroen, C3,"£11,349",2020,Other,51.4 mpg,Tax: £180,"Mileage: 24,291",Petrol,black,1.2 PureTech Flair Plus 5dr
314,Citroen, C3,"£10,549",2019,Other,58.9 mpg,Tax: £180,"Mileage: 24,338",Petrol,black,1.2 PureTech 82 Flair 5dr
315,Citroen, C1,"£7,599",2017,Other,65.7 mpg,Tax: £180,"Mileage: 25,377",Petrol,black,1.2 PureTech Flair 5dr
316,Citroen, C1,"£8,899",2019,Other,58.9 mpg,Tax: £180,"Mileage: 26,030",Petrol,black,1.0 VTi 72 Origins 5dr
317,Citroen, C3,"£11,349",2019,Other,51.4 mpg,Tax: £180,"Mileage: 26,117",Petrol,black,1.2 PureTech 83 Flair Nav Edition 5dr
318,Citroen, C3,"£10,999",2020,Other,51.4 mpg,Tax: £180,"Mileage: 28,630",Petrol,black,1.2 PureTech 83 Flair Plus 5dr
408,Citroen, C3,"£11,349",2019,Other,51.4 mpg,Tax: £180,"Mileage: 26,117",Petrol,black,1.2 PureTech 83 Flair Nav Edition 5dr
409,Citroen, C3,"£13,999",2020,Other,47.1 mpg,Tax: £180,"Mileage: 27,145",Petrol,black,AIRCROSS 1.2 PureTech 130 Flair 5dr EAT6
410,Citroen, C3,"£10,999",2020,Other,51.4 mpg,Tax: £180,"Mileage: 28,630",Petrol,black,1.2 PureTech 83 Flair Plus 5dr
411,Citroen, C3,"£9,999",2019,Other,60.1 mpg,Tax: £180,"Mileage: 29,110",Petrol,black,1.2 PureTech 82 Flair Nav Edition 5dr
412,Citroen, C3,"£9,999",2019,Other,60.1 mpg,Tax: £180,"Mileage: 29,315",Petrol,black,1.2 PureTech 82 Flair Nav Edition 5dr
413,Citroen, C1,"£7,049",2018,Other,68.9 mpg,Tax: £180,"Mileage: 29,636",Petrol,black,1.0 VTi 72 Feel 3dr
414,Citroen, C3,"£10,449",2020,Other,51.4 mpg,Tax: £180,"Mileage: 30,213",Petrol,black,1.2 PureTech 83 Flair Plus 5dr
415,Citroen, C3,"£10,199",2019,Other,51.4 mpg,Tax: £180,"Mileage: 33,331",Petrol,black,1.2 PureTech 82 Feel Nav Edition 5dr
416,Citroen, Grand C4 Picasso,"£13,899",2017,Other,65.7 mpg,Tax: £180,"Mileage: 33,982",Diesel,black,2.0 BlueHDi Flair 5dr
417,Citroen, C3,"£10,549",2021,Other,54.3 mpg,Tax: £180,"Mileage: 37,038",Petrol,black,1.2 PureTech Shine 5dr
505,Citroen, C3,"£9,399",2017,Other,61.4 mpg,Tax: £180,"Mileage: 40,202",Petrol,black,1.2 PureTech 110 Flair 5dr
506,Citroen, C3,"£10,049",2020,Other,51.4 mpg,Tax: £180,"Mileage: 41,948",Petrol,black,1.2 PureTech 83 Origins 5dr
507,Citroen, C3,"£9,699",2019,Other,60.1 mpg,Tax: £180,"Mileage: 43,108",Petrol,black,1.2 PureTech 82 Flair Nav Edition 5dr
508,Citroen, C4 Cactus,"£10,399",2019,Other,70.6 mpg,Tax: £180,"Mileage: 50,124",Diesel,black,1.5 BlueHDi Flair 5dr
509,Citroen, C4 Cactus,"£9,849",2018,Other,70.6 mpg,Tax: £180,"Mileage: 55,299",Diesel,black,1.5 BlueHDi Flair 5dr
510,Citroen, Grand C4 Picasso,"£11,499",2017,Other,70.6 mpg,Tax: £180,"Mileage: 59,824",Diesel,black,1.6 BlueHDi Flair 5dr
511,Citroen, C3,"£16,298",2022,Manual,51.4 mpg,Tax: £180,"Mileage: 7,021",Petrol,black,3 Aircross 1.2 PureTech 110 Shine Plus 5dr
512,Citroen, C3,"£11,318",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 9,942",Petrol,black,3 1.2 PureTech Flair 5dr
513,Citroen, C3,"£11,200",2019,Manual,51.4 mpg,Tax: £180,"Mileage: 34,760",Petrol,black,"Aircross 1.2 PureTech Flair SUV 5dr Petrol Manual 6 Spd Euro 6 (s/s) (110 ps) Android Auto,Apple"
514,Citroen, C5 Aircross,"£16,100",2020,Manual,68.9 mpg,Tax: £180,"Mileage: 10,302",Diesel,black,"1.5 BlueHDi Flair Plus SUV 5dr Diesel Manual Euro 6 (s/s) (130 ps) Part Leather,Android Auto"
604,Citroen, C5 Aircross,"£15,300",2020,Manual,36.6 mpg,Tax: £180,"Mileage: 19,939",Petrol,black,"1.2 PureTech Flair Plus SUV 5dr Petrol Manual Euro 6 (s/s) (130 ps) Part Leather,Android Auto"
605,Citroen, C3,"£10,200",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 51,733",Petrol,black,"Aircross 1.2 PureTech Shine SUV 5dr Petrol Manual Euro 6 (s/s) (110 ps) Android Auto,Apple CarPlay"
606,Citroen, Berlingo,"£21,500",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 26,944",Diesel,black,"1.5 BlueHDi Flair XTR XL MPV 5dr Diesel Manual Euro 6 (s/s) (130 ps) Visibility Pack,Third Row Seat"
607,Citroen, C3,"£19,000",2023,Semi-Auto,49.6 mpg,Tax: £180,Mileage: 1,Petrol,black,3 1.2 PureTech 110 Shine Plus 5dr EAT6
608,Citroen, C3,"£10,663",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 15,888",Petrol,black,3 1.2 PureTech Shine 5dr
609,Citroen, C3,"£18,563",2023,Semi-Auto,49.6 mpg,Tax: £180,"Mileage: 2,749",Petrol,black,3 1.2 PureTech 110 Shine Plus 5dr EAT6
610,Citroen, C3,"£13,706",2019,Semi-Auto,55.4 mpg,Tax: £180,"Mileage: 11,999",Petrol,black,3 1.2 PureTech 110 Flair 5dr EAT6
611,Citroen, C3,"£12,547",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 13,721",Petrol,black,3 Aircross 1.2 PureTech 110 Shine 5dr
612,Citroen, C3,"£13,986",2022,Manual,54.3 mpg,Tax: £180,"Mileage: 17,099",Petrol,black,3 Aircross 1.2 PureTech 110 C-Series Edition 5dr
613,Citroen, C5,"£30,000",2022,Semi-Auto,188.3 mpg,Tax: £170,"Mileage: 11,445",Hybrid,black,5 X 1.6 Plug-in Hybrid 225 Shine Plus 5dr e-EAT8
699,Citroen, C1,"£11,000",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 15,000",Petrol,black,1 1.0 VTi 72 Urban Ride 5dr
700,Citroen, C4,"£15,500",2022,Manual,54.3 mpg,Tax: £180,"Mileage: 22,000",Petrol,black,4 1.2 PureTech [130] Sense Plus 5dr
701,Citroen, C3,"£14,000",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 23,000",Petrol,black,3 1.2 PureTech Shine Plus 5dr
702,Citroen, C3,"£11,949",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 12,138",Petrol,black,3 1.2 PureTech 110 Flair Plus 5dr [6 Speed]
703,Citroen, C3,"£13,727",2021,Semi-Auto,47.1 mpg,Tax: £180,"Mileage: 17,087",Petrol,black,3 Aircross 1.2 PureTech 130 Shine 5dr EAT6
704,Citroen, C4,"£12,828",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 36,991",Petrol,black,4 1.2 PureTech [130] Sense Plus 5dr
705,Citroen, C4 Cactus,"£12,630",2019,Semi-Auto,57.7 mpg,Tax: £180,"Mileage: 37,594",Diesel,black,s 1.5 BlueHDi 120 Flair EAT6 5dr
706,Citroen, C5 Aircross,"£15,795",2022,Semi-Auto,57.7 mpg,Tax: £180,"Mileage: 58,375",Diesel,black,s 1.5 BlueHDi 130 Shine Plus 5dr EAT8
