,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
53,Honda, HRV,"£26,797",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 7,200",Hybrid,beige,V 1.5 eHEV Advance Style 5dr CVT
54,Honda, HRV,"£25,990",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 3,000",Hybrid,beige,1.5 i-MMD (131ps) Elegance eCVT 5-Door
55,Honda, HRV,"£26,450",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 7,543",Hybrid,beige,V 1.5 eHEV Advance 5dr CVT
56,Honda, HRV,"£25,450",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 15,107",Hybrid,beige,V 1.5 eHEV Advance 5dr CVT
57,Honda, HRV,"£27,990",2023,Automatic,52.3 mpg,Tax: £170,"Mileage: 5,652",Hybrid,beige,V 1.5 eHEV Elegance 5dr CVT
58,Honda, HRV,"£23,960",2022,Automatic,52.3 mpg,Tax: n/a,"Mileage: 20,196",Hybrid,beige,V 1.5 eHEV Elegance 5dr CVT
59,Honda, HRV,"£25,495",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 11,470",Hybrid,beige,1.5 eHEV Advance 5dr CVT
60,Honda, HRV,"£27,495",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 15,737",Hybrid,beige,1.5 eHEV Advance Style 5dr CVT
61,Honda, HRV,"£26,995",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 6,800",Hybrid,beige,V 1.5 eHEV Advance 5dr CVT
62,Honda, HRV,"£26,000",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 5,810",Hybrid,beige,V 1.5 eHEV Elegance 5dr CVT
233,Honda, HRV,"£18,599",2018,Other,52.3 mpg,Tax: £180,"Mileage: 16,853",Petrol,black,1.5 i-VTEC EX CVT 5dr
234,Honda, Jazz,"£11,399",2019,Other,48.7 mpg,Tax: £180,"Mileage: 23,036",Petrol,black,1.3 i-VTEC SE 5dr
235,Honda, Jazz,"£13,499",2019,Other,42.8 mpg,Tax: £180,"Mileage: 26,652",Petrol,black,1.5 i-VTEC Sport Navi 5dr
236,Honda, Jazz,"£12,699",2018,Other,57.6 mpg,Tax: £180,"Mileage: 33,263",Petrol,black,1.3 i-VTEC EX 5dr CVT
237,Honda, Civic,"£12,949",2017,Other,56.5 mpg,Tax: £35,"Mileage: 39,127",Petrol,black,1.0 VTEC Turbo SR 5dr CVT
238,Honda, HRV,"£12,199",2018,Other,49.6 mpg,Tax: £180,"Mileage: 43,527",Petrol,black,1.5 i-VTEC SE 5dr
239,Honda, Jazz,"£10,999",2020,Other,48.7 mpg,Tax: £180,"Mileage: 46,608",Petrol,black,1.3 i-VTEC SE Navi 5dr
240,Honda, HRV,"£11,749",2017,Other,49.6 mpg,Tax: £180,"Mileage: 61,107",Petrol,black,1.5 i-VTEC SE 5dr
