,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
63,Hyundai, Tucson,"£12,999",2018,Other,44.8 mpg,Tax: £180,"Mileage: 27,411",Petrol,beige,1.6 GDi Blue Drive SE Nav 5dr 2WD
64,Hyundai, Tucson,"£13,799",2018,Other,57.6 mpg,Tax: £180,"Mileage: 53,756",Diesel,beige,1.7 CRDi Blue Drive SE Nav 5dr 2WD DCT
65,Hyundai, Tucson,"£12,499",2018,Manual,44.8 mpg,Tax: £180,"Mileage: 37,348",Petrol,beige,
66,Hyundai, Tucson,"£16,799",2017,Automatic,57.7 mpg,Tax: £180,"Mileage: 31,746",Diesel,beige,
67,Hyundai, Tucson,"£12,495",2018,Manual,34.9 mpg,Tax: £180,"Mileage: 27,032",Petrol,beige,1.6 GDi SE Nav Euro 6 (s/s) 5dr 5 HYUNDAI DEALER SERVICES
68,Hyundai, Tucson,"£15,000",2020,Manual,51.4 mpg,Tax: £170,"Mileage: 28,150",Hybrid,beige,1.6 CRDi MHEV SE Nav Euro 6 (s/s) 5dr SVC HISTORY PARKING SENSORS
69,Hyundai, Tucson,"£10,989",2017,Manual,44.8 mpg,Tax: £180,"Mileage: 47,245",Petrol,beige,n 1.6 GDi Blue Drive SE 5dr 2WD
70,Hyundai, Tucson,"£15,900",2019,Semi-Auto,36.2 mpg,Tax: £180,"Mileage: 29,826",Petrol,beige,n 1.6 TGDi 177 SE Nav 5dr 2WD DCT
71,Hyundai, Tucson,"£11,450",2019,Manual,34.9 mpg,Tax: £180,"Mileage: 66,317",Petrol,beige,Se Nav 1.6 Petrol Manual Sat Nav & Reversing Camera!
72,Hyundai, Tucson,"£11,657",2017,Manual,61.7 mpg,Tax: £180,"Mileage: 41,813",Diesel,beige,n 1.7 CRDi Blue Drive SE 5dr 2WD
243,Hyundai, IONIQ,"£15,995",2018,Automatic,78.5 mpg,Tax: £170,"Mileage: 23,144",Hybrid,black,1.6 GDi Hybrid Premium 5dr DCT
244,Hyundai, Tucson,"£14,695",2018,Semi-Auto,36.2 mpg,Tax: £180,"Mileage: 40,775",Petrol,black,n 1.6 TGDi 177 SE Nav 5dr 2WD DCT
245,Hyundai, Tucson,"£14,349",2018,Other,34.9 mpg,Tax: £180,"Mileage: 15,328",Petrol,black,1.6 GDi SE Nav 5dr 2WD
246,Hyundai, Tucson,"£17,449",2021,Other,51.4 mpg,Tax: £170,"Mileage: 17,134",Diesel,black,1.6 CRDi 48V MHD SE Nav 5dr 2WD
247,Hyundai, Tucson,"£14,999",2020,Other,34.9 mpg,Tax: £180,"Mileage: 26,476",Petrol,black,1.6 GDi SE Nav 5dr 2WD
248,Hyundai, Tucson,"£17,399",2019,Other,34.9 mpg,Tax: £180,"Mileage: 28,862",Petrol,black,1.6 TGDi 177 Premium 5dr 2WD
249,Hyundai, Kona,"£13,049",2020,Other,44.1 mpg,Tax: £180,"Mileage: 29,749",Petrol,black,1.0T GDi Play Edition 5dr
250,Hyundai, Tucson,"£12,749",2017,Other,44.8 mpg,Tax: £180,"Mileage: 30,131",Petrol,black,1.6 GDi Blue Drive SE Nav 5dr 2WD
251,Hyundai, Tucson,"£14,249",2019,Other,48.7 mpg,Tax: £180,"Mileage: 40,326",Diesel,black,1.6 CRDi SE Nav 5dr 2WD
252,Hyundai, i800,"£19,549",2018,Other,28.0 mpg,Tax: £180,"Mileage: 41,109",Diesel,black,2.5 CRDi [170] SE 5dr Auto
338,Hyundai, Tucson,"£12,799",2018,Other,34.9 mpg,Tax: £180,"Mileage: 41,302",Petrol,black,1.6 GDi SE Nav 5dr 2WD
339,Hyundai, Kona,"£12,049",2019,Other,44.1 mpg,Tax: £180,"Mileage: 41,343",Petrol,black,1.0T GDi Play Edition 5dr
340,Hyundai, i20,"£9,249",2018,Other,62.8 mpg,Tax: £180,"Mileage: 42,423",Petrol,black,1.0T GDI SE 3dr
341,Hyundai, Tucson,"£13,599",2017,Other,57.6 mpg,Tax: £180,"Mileage: 46,317",Diesel,black,1.7 CRDi Blue Drive SE Nav 5dr 2WD DCT
342,Hyundai, Tucson,"£13,549",2017,Other,57.6 mpg,Tax: £180,"Mileage: 47,080",Diesel,black,1.7 CRDi Blue Drive SE Nav 5dr 2WD DCT
343,Hyundai, Tucson,"£15,599",2019,Other,34.9 mpg,Tax: £180,"Mileage: 47,496",Petrol,black,1.6 GDi Premium 5dr 2WD
344,Hyundai, IONIQ,"£13,249",2019,Other,78.5 mpg,Tax: £170,"Mileage: 50,949",Hybrid,black,1.6 GDi Hybrid SE 5dr DCT
345,Hyundai, i20,"£8,549",2018,Other,58.9 mpg,Tax: £180,"Mileage: 59,881",Petrol,black,1.2 Go SE 5dr
346,Hyundai, IONIQ,"£15,549",2019,Other,78.5 mpg,Tax: £170,"Mileage: 61,070",Hybrid,black,1.6 GDi Plug-in Hybrid Premium SE 5dr DCT
347,Hyundai, IONIQ,"£15,449",2019,Other,78.5 mpg,Tax: £170,"Mileage: 70,366",Hybrid,black,1.6 GDi Plug-in Hybrid Premium SE 5dr DCT
437,Hyundai, IONIQ,"£13,999",2019,Other,78.5 mpg,Tax: £170,"Mileage: 35,789",Hybrid,black,1.6 GDi Hybrid SE 5dr DCT
438,Hyundai, Tucson,"£26,990",2021,Semi-Auto,49.6 mpg,Tax: £170,"Mileage: 31,000",Hybrid,black,n 1.6 TGDi Hybrid 230 Ultimate 5dr 2WD Auto
439,Hyundai, Tucson,"£11,900",2018,Manual,34.9 mpg,Tax: £180,"Mileage: 47,392",Petrol,black,"1.6 GDi SE Nav SUV 5dr Petrol Manual Euro 6 (s/s) (132 ps) Android Auto,Apple CarPlay"
440,Hyundai, Tucson,"£13,400",2020,Manual,34.9 mpg,Tax: £180,"Mileage: 40,680",Petrol,black,"1.6 GDi SE Nav SUV 5dr Petrol Manual Euro 6 (s/s) (132 ps) Android Auto,Apple CarPlay"
441,Hyundai, IONIQ,"£13,600",2020,Automatic,62.8 mpg,Tax: £170,"Mileage: 49,972",Hybrid,black,"1.6 h-GDi Premium Hatchback 5dr Petrol Hybrid DCT Euro 6 (s/s) (141 ps) Android Auto,Apple CarPlay"
442,Hyundai, Kona,"£12,700",2021,Manual,47.1 mpg,Tax: £170,"Mileage: 42,054",Hybrid,black,"1.0 T-GDi MHEV SE Connect SUV 5dr Petrol Hybrid Manual Euro 6 (s/s) (120 ps) Android Auto,Apple"
443,Hyundai, Kona,"£12,200",2021,Manual,47.1 mpg,Tax: £170,"Mileage: 42,203",Hybrid,black,"1.0 T-GDi MHEV SE Connect SUV 5dr Petrol Hybrid Manual Euro 6 (s/s) (120 ps) Android Auto,Apple"
444,Hyundai, Kona,"£12,700",2021,Manual,47.1 mpg,Tax: £170,"Mileage: 43,317",Hybrid,black,"1.0 T-GDi MHEV SE Connect SUV 5dr Petrol Hybrid Manual Euro 6 (s/s) (120 ps) Android Auto,Apple"
445,Hyundai, Kona,"£15,800",2020,Automatic,56.5 mpg,Tax: £170,"Mileage: 25,704",Hybrid,black,"1.6 h-GDi SE SUV 5dr Petrol Hybrid DCT Euro 6 (s/s) (141 ps) Android Auto,Apple CarPlay"
446,Hyundai, Tucson,"£14,500",2019,Manual,35.3 mpg,Tax: £180,"Mileage: 28,281",Petrol,black,"1.6 T-GDi SE Nav SUV 5dr Petrol Manual Euro 6 (s/s) (177 ps) Android Auto,Apple CarPlay"
535,Hyundai, IONIQ,"£13,600",2020,Automatic,62.8 mpg,Tax: £170,"Mileage: 49,972",Hybrid,black,"1.6 h-GDi Premium Hatchback 5dr Petrol Hybrid DCT Euro 6 (s/s) (141 ps) Android Auto,Apple CarPlay"
536,Hyundai, Tucson,"£17,495",2020,Automatic,36.2 mpg,Tax: £180,"Mileage: 6,097",Petrol,black,T-GDi SE Nav
537,Hyundai, i20,"£17,795",2022,Manual,54.3 mpg,Tax: £170,"Mileage: 3,264",Hybrid,black,1.0T GDi 48V MHD Premium 5dr
538,Hyundai, i10,"£14,999",2021,Semi-Auto,52.3 mpg,Tax: £180,"Mileage: 6,832",Petrol,black,1.2 MPi SE Connect 5dr Auto
539,Hyundai, Tucson,"£18,699",2019,Manual,34.9 mpg,Tax: £180,"Mileage: 11,367",Petrol,black,n 1.6 GDi Premium 5dr 2WD
540,Hyundai, Kona,"£13,299",2020,Manual,44.1 mpg,Tax: £180,"Mileage: 13,640",Petrol,black,1.0T GDi Play Edition 5dr
