,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
73,Kia, Sportage,"£9,000",2014,Manual,52.3 mpg,Tax: £200,"Mileage: 67,599",Diesel,beige,CRDI 4 ISG
74,Kia, Sportage,"£9,000",2014,Manual,52.3 mpg,Tax: £200,"Mileage: 67,599",Diesel,beige,CRDI 4 ISG
75,Kia, Picanto,"£7,685",2012,Automatic,53.3 mpg,Tax: £150,"Mileage: 19,000",Petrol,beige,1.25 Halo Auto Euro 5 3dr BRAND NEW MOT AND SERVICE
76,Kia, Soul,"£4,500",2009,Manual,43.5 mpg,Tax: £240,"Mileage: 51,500",Petrol,beige,1.6 SHAKER 5d 125 BHP
77,Kia, Soul,"£3,995",2009,Manual,54.3 mpg,Tax: £180,"Mileage: 58,000",Diesel,beige,1.6 SHAKER CRDI 5d 127 BHP
78,Kia, Picanto,"£6,500",2012,Automatic,53.3 mpg,Tax: £150,"Mileage: 63,000",Petrol,beige,1.25 Halo Hatchback 3dr Petrol Auto Euro 5 (84 bhp)
79,Kia, Soul,"£2,495",2009,Manual,43.5 mpg,Tax: £240,"Mileage: 99,500",Petrol,beige,1.6 Shaker
80,Kia, Soul,"£7,370",2013,Manual,44.1 mpg,Tax: £200,"Mileage: 30,013",Petrol,beige,1.6 SHAKER 5d 138 BHP
81,Kia, Picanto,"£14,599",2019,Other,42.2 mpg,Tax: £180,"Mileage: 9,174",Petrol,beige,1.25 X-Line S 5dr Auto
253,Kia, Picanto,"£14,049",2021,Other,53.3 mpg,Tax: £180,"Mileage: 9,546",Petrol,black,1.0T GDi GT-line S 5dr [4 seats]
254,Kia, Sportage,"£18,599",2021,Other,38.7 mpg,Tax: £180,"Mileage: 12,568",Petrol,black,1.6 GDi ISG 2 5dr
255,Kia, Niro,"£17,049",2020,Other,58.9 mpg,Tax: £170,"Mileage: 14,567",Hybrid,black,1.6 GDi Hybrid 2 5dr DCT
256,Kia, Picanto,"£11,949",2020,Other,50.4 mpg,Tax: £180,"Mileage: 16,031",Petrol,black,1.0T GDi GT-line 5dr
257,Kia, Xceed,"£14,899",2021,Other,47.1 mpg,Tax: £180,"Mileage: 16,072",Petrol,black,1.0T GDi ISG Edition 5dr
258,Kia, Sportage,"£16,299",2019,Other,34.9 mpg,Tax: £180,"Mileage: 17,311",Petrol,black,1.6 GDi ISG 2 5dr
259,Kia, Stonic,"£13,999",2019,Other,47.1 mpg,Tax: £180,"Mileage: 18,593",Petrol,black,1.0T GDi 4 5dr
260,Kia, Picanto,"£12,049",2019,Other,55.4 mpg,Tax: £180,"Mileage: 19,937",Petrol,black,1.0T GDi GT-line S 5dr
261,Kia, Sportage,"£14,399",2017,Other,37.2 mpg,Tax: £320,"Mileage: 22,191",Petrol,black,1.6T GDi GT-Line 5dr [AWD]
262,Kia, Ceed,"£13,349",2019,Other,60.1 mpg,Tax: £180,"Mileage: 22,378",Diesel,black,1.6 CRDi ISG 2 5dr
348,Kia, Sportage,"£17,699",2020,Other,34.9 mpg,Tax: £180,"Mileage: 30,242",Petrol,black,1.6T GDi ISG GT-Line 5dr
349,Kia, Sportage,"£14,999",2019,Other,34.9 mpg,Tax: £180,"Mileage: 31,098",Petrol,black,1.6 GDi ISG 2 5dr
350,Kia, Sportage,"£18,899",2019,Other,44.8 mpg,Tax: £180,"Mileage: 32,740",Diesel,black,1.6 CRDi ISG 4 5dr DCT Auto
351,Kia, Sportage,"£16,199",2018,Other,34.9 mpg,Tax: £180,"Mileage: 35,680",Petrol,black,1.6T GDi ISG GT-Line 5dr
352,Kia, Sportage,"£15,049",2019,Other,47.1 mpg,Tax: £180,"Mileage: 37,789",Diesel,black,1.6 CRDi ISG 2 5dr
353,Kia, Sportage,"£19,749",2020,Other,32.1 mpg,Tax: £180,"Mileage: 38,458",Petrol,black,1.6T GDi ISG 4 5dr DCT Auto [AWD]
354,Kia, Sportage,"£13,949",2020,Other,53.3 mpg,Tax: £170,"Mileage: 38,485",Diesel,black,1.6 CRDi 48V ISG 1 5dr
355,Kia, Niro,"£18,249",2020,Other,65.7 mpg,Tax: £170,"Mileage: 40,979",Hybrid,black,1.6 GDi Hybrid 3 5dr DCT
356,Kia, Picanto,"£10,549",2020,Other,48.7 mpg,Tax: £180,"Mileage: 42,266",Petrol,black,1.25 X-Line 5dr
357,Kia, Ceed,"£13,949",2019,Other,56.5 mpg,Tax: £180,"Mileage: 44,939",Diesel,black,1.6 CRDi ISG GT-Line 5dr
447,Kia, Sportage,"£15,299",2020,Other,52.3 mpg,Tax: £170,"Mileage: 46,483",Diesel,black,1.6 CRDi 48V ISG 2 5dr
448,Kia, Sportage,"£15,149",2019,Other,47.1 mpg,Tax: £180,"Mileage: 46,709",Diesel,black,1.6 CRDi ISG 2 5dr
449,Kia, Optima,"£10,999",2018,Other,64.2 mpg,Tax: £180,"Mileage: 47,858",Diesel,black,1.7 CRDi ISG 2 5dr
450,Kia, Sportage,"£11,999",2017,Other,44.8 mpg,Tax: £200,"Mileage: 48,838",Petrol,black,1.6 GDi ISG 2 5dr
451,Kia, Sportage,"£16,249",2017,Other,44.8 mpg,Tax: £290,"Mileage: 49,108",Diesel,black,2.0 CRDi GT-Line S 5dr Auto [AWD]
452,Kia, Sportage,"£13,249",2018,Other,47.1 mpg,Tax: £180,"Mileage: 49,871",Diesel,black,1.6 CRDi ISG 2 5dr
453,Kia, Sportage,"£16,099",2019,Other,34.5 mpg,Tax: £180,"Mileage: 52,833",Petrol,black,1.6T GDi ISG 4 5dr
454,Kia, Sportage,"£14,849",2019,Other,34.9 mpg,Tax: £180,"Mileage: 55,495",Petrol,black,1.6T GDi ISG GT-Line 5dr
455,Kia, Sportage,"£13,899",2019,Other,47.1 mpg,Tax: £180,"Mileage: 64,768",Diesel,black,1.6 CRDi ISG 2 5dr
545,Kia, Optima,"£10,999",2018,Other,64.2 mpg,Tax: £180,"Mileage: 47,858",Diesel,black,1.7 CRDi ISG 2 5dr
546,Kia, Sportage,"£11,999",2017,Other,44.8 mpg,Tax: £200,"Mileage: 48,838",Petrol,black,1.6 GDi ISG 2 5dr
547,Kia, Sportage,"£16,249",2017,Other,44.8 mpg,Tax: £290,"Mileage: 49,108",Diesel,black,2.0 CRDi GT-Line S 5dr Auto [AWD]
548,Kia, Sportage,"£13,249",2018,Other,47.1 mpg,Tax: £180,"Mileage: 49,871",Diesel,black,1.6 CRDi ISG 2 5dr
549,Kia, Sportage,"£16,099",2019,Other,34.5 mpg,Tax: £180,"Mileage: 52,833",Petrol,black,1.6T GDi ISG 4 5dr
550,Kia, Sportage,"£14,849",2019,Other,34.9 mpg,Tax: £180,"Mileage: 55,495",Petrol,black,1.6T GDi ISG GT-Line 5dr
551,Kia, Pro Ceed,"£14,999",2019,Other,42.8 mpg,Tax: £180,"Mileage: 58,604",Petrol,black,1.4T GDi ISG GT-Line S 5dr DCT
552,Kia, Sportage,"£13,899",2019,Other,47.1 mpg,Tax: £180,"Mileage: 64,768",Diesel,black,1.6 CRDi ISG 2 5dr
553,Kia, Sportage,"£13,599",2020,Other,52.3 mpg,Tax: £170,"Mileage: 70,576",Diesel,black,1.6 CRDi 48V ISG 2 5dr
641,Kia, Sportage,"£13,100",2019,Manual,34.9 mpg,Tax: £180,"Mileage: 47,046",Petrol,black,"1.6 GDi 2 SUV 5dr Petrol Manual Euro 6 (s/s) (130 bhp) Android Auto,Apple CarPlay"
