,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
82,Nissan, X Trail,"£13,479",2018,Automatic,53.3 mpg,Tax: £180,"Mileage: 82,300",Diesel,beige,dCi Tekna
83,Nissan, X Trail,"£19,782",2020,Automatic,38.7 mpg,Tax: £180,"Mileage: 18,748",Petrol,beige,l 1.3 DiG-T Acenta Premium 5dr DCT
84,Nissan, X Trail,"£21,900",2020,Automatic,38.7 mpg,Tax: £180,"Mileage: 27,875",Diesel,beige,l 1.7 dCi Tekna 5dr CVT
85,Nissan, X Trail,"£15,657",2017,Automatic,53.3 mpg,Tax: £180,"Mileage: 41,928",Diesel,beige,l 1.6 dCi Tekna 5dr Xtronic
86,Nissan, X Trail,"£17,696",2018,Automatic,53.3 mpg,Tax: £180,"Mileage: 21,405",Diesel,beige,l 1.6 dCi N-Connecta 5dr Xtronic [7 Seat]
87,Nissan, X Trail,"£25,589",2021,Automatic,36.7 mpg,Tax: £180,"Mileage: 18,824",Petrol,beige,l 1.3 DiG-T 158 Tekna 5dr DCT
88,Nissan, X Trail,"£38,990",2023,Other,37.2 mpg,Tax: n/a,"Mileage: 5,000",Other,beige,"l 1.5 163 MHEV DIG-T TEKNA PLUS XTRONIC*QUILTED PREMIUM LEATHER,20'''' DIAMOND CUT ALLOY WHEELS*"
89,Nissan, X Trail,"£20,595",,Automatic,34.5 mpg,Tax: £180,"Mileage: 19,971",Petrol,beige,N Connecta
90,Nissan, Qashqai,"£6,995",2012,Manual,42.8 mpg,Tax: £240,"Mileage: 67,648",Petrol,beige,+2 1.6 Acenta SUV 5dr Petrol Manual 2WD Euro 5 (s/s) (117 ps)
91,Nissan, Pulsar,"£10,349",2015,Automatic,55.4 mpg,Tax: £35,"Mileage: 31,599",Petrol,beige,r 1.2 DiG-T Tekna 5dr Xtronic
263,Nissan, Qashqai,"£20,450",2021,Automatic,44.8 mpg,Tax: £170,"Mileage: 19,262",Petrol,black,1.3 DIG-T ACENTA PREMIUM DCT MHEV 5d 156 BHP
264,Nissan, Juke,"£12,950",2020,Manual,47.9 mpg,Tax: £180,"Mileage: 24,450",Petrol,black,1.0 DIG-T ACENTA 5d 116 BHP
265,Nissan, Qashqai,"£16,695",2019,Semi-Auto,39.8 mpg,Tax: £180,"Mileage: 18,975",Petrol,black,i 1.3 DiG-T 160 N-Connecta 5dr DCT
266,Nissan, Qashqai,"£15,999",2017,Other,50.4 mpg,Tax: £180,"Mileage: 9,733",Petrol,black,1.2 DiG-T N-Connecta 5dr Xtronic
267,Nissan, Micra,"£12,899",2020,Other,47.9 mpg,Tax: £180,"Mileage: 11,182",Petrol,black,1.0 IG-T 100 N-Sport 5dr
268,Nissan, Qashqai,"£16,399",2019,Other,40.9 mpg,Tax: £180,"Mileage: 14,371",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
269,Nissan, X Trail,"£21,049",2020,Other,37.7 mpg,Tax: £180,"Mileage: 14,700",Petrol,black,1.3 DiG-T Acenta Premium 5dr [7 Seat] DCT
270,Nissan, Qashqai,"£16,899",2020,Other,44.8 mpg,Tax: £180,"Mileage: 15,312",Petrol,black,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT
271,Nissan, Qashqai,"£16,849",2020,Other,40.9 mpg,Tax: £180,"Mileage: 15,462",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
358,Nissan, Qashqai,"£16,849",2020,Other,40.9 mpg,Tax: £180,"Mileage: 15,462",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
359,Nissan, Qashqai,"£17,399",2020,Other,40.9 mpg,Tax: £180,"Mileage: 16,828",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
360,Nissan, Qashqai,"£16,799",2019,Other,39.8 mpg,Tax: £180,"Mileage: 18,251",Petrol,black,1.3 DiG-T Tekna 5dr
361,Nissan, Qashqai,"£15,749",2019,Other,40.4 mpg,Tax: £180,"Mileage: 19,135",Petrol,black,1.3 DiG-T N-Connecta 5dr
362,Nissan, Qashqai,"£16,799",2020,Other,40.4 mpg,Tax: £180,"Mileage: 19,643",Petrol,black,1.3 DiG-T N-Connecta 5dr
363,Nissan, X Trail,"£14,399",2019,Other,43.5 mpg,Tax: £180,"Mileage: 23,153",Diesel,black,1.7 dCi Acenta 5dr
364,Nissan, Micra,"£11,549",2019,Other,50.4 mpg,Tax: £180,"Mileage: 24,157",Petrol,black,1.0 IG-T 100 N-Connecta 5dr
365,Nissan, Micra,"£11,649",2019,Other,47.9 mpg,Tax: £180,"Mileage: 24,288",Petrol,black,1.0 DIG-T 117 N-Sport 5dr
366,Nissan, Qashqai,"£13,699",2019,Other,41.5 mpg,Tax: £180,"Mileage: 24,475",Petrol,black,1.3 DiG-T Acenta Premium 5dr
367,Nissan, Qashqai,"£13,349",2017,Other,50.4 mpg,Tax: £180,"Mileage: 24,515",Petrol,black,1.2 DiG-T Tekna 5dr
456,Nissan, Micra,"£11,899",2020,Other,47.9 mpg,Tax: £180,"Mileage: 25,032",Petrol,black,1.0 IG-T 100 N-Sport 5dr
457,Nissan, Qashqai,"£13,549",2018,Other,50.4 mpg,Tax: £180,"Mileage: 25,070",Petrol,black,1.2 DiG-T N-Connecta 5dr
458,Nissan, X Trail,"£19,449",2019,Other,41.5 mpg,Tax: £180,"Mileage: 25,928",Diesel,black,1.7 dCi Tekna 5dr [7 Seat]
459,Nissan, Qashqai,"£15,799",2019,Other,39.8 mpg,Tax: £180,"Mileage: 26,198",Petrol,black,1.3 DiG-T Tekna 5dr
460,Nissan, Qashqai,"£14,349",2018,Other,52.3 mpg,Tax: £180,"Mileage: 26,361",Diesel,black,1.5 dCi 115 N-Connecta 5dr [Glass Roof Pack]
461,Nissan, Qashqai,"£16,249",2020,Other,40.9 mpg,Tax: £180,"Mileage: 27,118",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
462,Nissan, Qashqai,"£17,699",2020,Other,52.3 mpg,Tax: £180,"Mileage: 27,140",Diesel,black,1.5 dCi 115 N-Connecta 5dr DCT
463,Nissan, Juke,"£11,249",2018,Other,70.6 mpg,Tax: £180,"Mileage: 28,447",Diesel,black,1.5 dCi Bose Personal Edition 5dr
464,Nissan, Qashqai,"£14,749",2019,Other,52.3 mpg,Tax: £180,"Mileage: 28,468",Diesel,black,1.5 dCi 115 N-Connecta 5dr [Glass Roof Pack]
554,Nissan, X Trail,"£21,049",2020,Other,42.2 mpg,Tax: £180,"Mileage: 28,738",Diesel,black,1.7 dCi Tekna 5dr
555,Nissan, Micra,"£9,899",2019,Other,50.4 mpg,Tax: £180,"Mileage: 29,685",Petrol,black,1.0 IG-T 100 Acenta 5dr
556,Nissan, Qashqai,"£17,249",2019,Other,39.8 mpg,Tax: £180,"Mileage: 29,817",Petrol,black,1.3 DiG-T 160 N-Connecta 5dr DCT
557,Nissan, Qashqai,"£15,699",2020,Other,40.9 mpg,Tax: £180,"Mileage: 30,582",Petrol,black,1.3 DiG-T 160 Acenta Premium 5dr DCT
558,Nissan, Qashqai,"£15,499",2019,Other,39.8 mpg,Tax: £180,"Mileage: 30,794",Petrol,black,1.3 DiG-T Tekna 5dr
559,Nissan, Qashqai,"£12,599",2017,Other,74.3 mpg,Tax: £180,"Mileage: 31,411",Diesel,black,1.5 dCi Tekna 5dr
560,Nissan, Qashqai,"£15,049",2019,Other,39.8 mpg,Tax: £180,"Mileage: 31,559",Petrol,black,1.3 DiG-T Tekna 5dr
561,Nissan, Qashqai,"£13,349",2018,Other,52.3 mpg,Tax: £180,"Mileage: 31,573",Diesel,black,1.5 dCi 115 N-Connecta 5dr
562,Nissan, Qashqai,"£17,449",2021,Other,44.1 mpg,Tax: £180,"Mileage: 32,194",Petrol,black,1.3 DiG-T 160 [157] N-Connecta 5dr DCT Glass Roof
563,Nissan, X Trail,"£17,249",2018,Other,55.4 mpg,Tax: £180,"Mileage: 33,651",Diesel,black,1.6 dCi Tekna 5dr
651,Nissan, Qashqai,"£15,349",2019,Other,51.4 mpg,Tax: £180,"Mileage: 34,326",Diesel,black,1.5 dCi 115 Tekna 5dr
652,Nissan, Qashqai,"£14,399",2019,Other,40.4 mpg,Tax: £180,"Mileage: 34,789",Petrol,black,1.3 DiG-T N-Connecta 5dr [Glass Roof Pack]
653,Nissan, Qashqai,"£17,499",2020,Other,39.8 mpg,Tax: £180,"Mileage: 35,269",Petrol,black,1.3 DiG-T 160 Tekna 5dr DCT
654,Nissan, Qashqai,"£14,549",2019,Other,51.4 mpg,Tax: £180,"Mileage: 36,491",Diesel,black,1.5 dCi 115 Tekna 5dr
655,Nissan, Juke,"£12,499",2019,Other,35.8 mpg,Tax: £180,"Mileage: 36,986",Petrol,black,1.6 [112] Bose Personal Edition 5dr CVT
