,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
8,Volvo, V40,"£11,995",2018,Manual,47.9 mpg,Tax: £180,"Mileage: 19,659",Petrol,beige,T2 (122) Momentum 5dr (Navigat
9,Volvo, XC60,"£34,999",2020,Automatic,108.7 mpg,Tax: £170,"Mileage: 10,000",Other,beige,2.0 RECHARGE T8 INSCRIPTION PRO AWD 5d 385 BHP VAT QUALIFYING 
10,Volvo, XC60,"£29,850",2020,Automatic,117.7 mpg,Tax: £170,"Mileage: 15,000",Other,beige,2.0 RECHARGE T6 INSCRIPTION EXPRESSION AWD 5d 337 BHP
11,Volvo, XC60,"£28,250",2020,Automatic,117.7 mpg,Tax: £170,"Mileage: 30,494",Other,beige,2.0 RECHARGE T6 R-DESIGN AWD 5d 337 BHP
12,Volvo, XC60,"£25,995",2020,Automatic,117.7 mpg,Tax: £170,"Mileage: 36,691",Other,beige,2.0 RECHARGE T6 INSCRIPTION EXPRESSION AWD 5d 337 BHP
13,Volvo, XC60,"£26,500",2020,Automatic,108.7 mpg,Tax: £170,"Mileage: 62,151",Other,beige,2.0 RECHARGE T8 INSCRIPTION PRO AWD 5d 385 BHP
14,Volvo, XC40,"£24,999",2020,Other,47.9 mpg,Tax: £180,"Mileage: 8,382",Diesel,beige,2.0 D3 Inscription 5dr
15,Volvo, V40,"£14,549",2018,Other,50.4 mpg,Tax: £180,"Mileage: 11,124",Petrol,beige,T2 [122] Momentum 5dr Geartronic
16,Volvo, V60,"£24,699",2021,Other,40.9 mpg,Tax: £170,"Mileage: 16,371",Petrol,beige,2.0 B3P Momentum 5dr Auto
188,Volvo, XC60,"£28,250",2020,Automatic,117.7 mpg,Tax: £170,"Mileage: 30,494",Other,black,2.0 RECHARGE T6 R-DESIGN AWD 5d 337 BHP
189,Volvo, XC60,"£26,500",2020,Automatic,108.7 mpg,Tax: £170,"Mileage: 62,151",Other,black,2.0 RECHARGE T8 INSCRIPTION PRO AWD 5d 385 BHP
190,Volvo, XC40,"£24,999",2020,Other,47.9 mpg,Tax: £180,"Mileage: 8,382",Diesel,black,2.0 D3 Inscription 5dr
191,Volvo, V60,"£24,699",2021,Other,40.9 mpg,Tax: £170,"Mileage: 16,371",Petrol,black,2.0 B3P Momentum 5dr Auto
192,Volvo, V90,"£24,999",2019,Other,38.2 mpg,Tax: £180,"Mileage: 22,300",Petrol,black,2.0 T5 Cross Country 5dr AWD Geartronic
