brand,price,mileage,transmission,year,fuel,performance,emission
brand,price,mileage,transmission,year,fuel,performance,emission
Ford,21500,207.000 km,Schaltgetriebe,07/2010,Diesel,103 kW (140 PS),"172 g/km (komb.) | 6,5 l/100 km (komb.)"
Opel,26990,22.700 km,Schaltgetriebe,05/2008,Benzin,194 kW (264 PS),"218 g/km (komb.) | 9,2 l/100 km (komb.)"
Mercedes-Benz,20790,129.000 km,Automatik,06/2017,Benzin,245 kW (333 PS),"173 g/km (komb.) | 7,6 l/100 km (komb.)"
Mercedes-Benz,44880,65.759 km,Schaltgetriebe,08/2017,Benzin,115 kW (156 PS),"130 g/km (komb.) | 5,6 l/100 km (komb.)"
Cadillac,38500,129.800 km,Automatik,07/2016,Benzin,313 kW (426 PS),"310 g/km (komb.) | 13,1 l/100 km (komb.)"
Land,19500,38.900 km,Automatik,05/2019,Diesel,132 kW (179 PS),"152 g/km (komb.) | 5,8 l/100 km (komb.)"
Audi,9400,61.200 km,Schaltgetriebe,12/2018,Benzin,85 kW (116 PS),"122 g/km (komb.) | 5,4 l/100 km (komb.)"
Volkswagen,13950,145.000 km,Schaltgetriebe,10/2015,Benzin,63 kW (86 PS),"114 g/km (komb.) | 4,9 l/100 km (komb.)"
Audi,26900,174.639 km,Automatik,09/2012,Diesel,150 kW (204 PS),"140 g/km (komb.) | 5,3 l/100 km (komb.)"
Porsche,5999,146.000 km,Schaltgetriebe,07/1999,Benzin,221 kW (300 PS),0 g/km (komb.)
Volkswagen,25970,165.999 km,Schaltgetriebe,11/2011,Diesel,66 kW (90 PS),"109 g/km (komb.) | 4,2 l/100 km (komb.)"
Cupra,17900,36.450 km,Automatik,06/2022,Benzin,110 kW (150 PS),"150 g/km (komb.) | 6,6 l/100 km (komb.)"
Volkswagen,7999,38.850 km,Automatik,11/2018,Benzin,110 kW (150 PS),"112 g/km (komb.) | 4,9 l/100 km (komb.)"
Audi,11330,238.000 km,Automatik,05/2009,Benzin,213 kW (290 PS),"225 g/km (komb.) | 9,7 l/100 km (komb.)"
Kia,24880,30 km,Schaltgetriebe,12/2011,Benzin,80 kW (109 PS),"132 g/km (komb.) | 6,9 l/100 km (komb.)"
Mercedes-Benz,11449,32.385 km,Schaltgetriebe,01/2019,Benzin,115 kW (156 PS),"170 g/km (komb.) | 7,5 l/100 km (komb.)"
Volkswagen,18950,182.450 km,Schaltgetriebe,02/2017,Diesel,110 kW (150 PS),"107 g/km (komb.) | 4,1 l/100 km (komb.)"
Audi,39950,84.999 km,Automatik,03/2014,Benzin,165 kW (224 PS),"156 g/km (komb.) | 6,6 l/100 km (komb.)"
Mercedes-Benz,19900,145.000 km,Automatik,06/2015,Benzin,410 kW (557 PS),"230 g/km (komb.) | 9,9 l/100 km (komb.)"
brand,price,mileage,transmission,year,fuel,performance,emission
Mercedes-Benz,8999,340.000 km,Automatik,12/2009,Diesel,170 kW (231 PS),"186 g/km (komb.) | 6,8 l/100 km (komb.)"
Opel,19300,87.950 km,Automatik,09/2019,Diesel,125 kW (170 PS),"146 g/km (komb.) | 5,5 l/100 km (komb.)"
Ford,34900,50.150 km,Schaltgetriebe,02/2019,Diesel,125 kW (170 PS),"224 g/km (komb.) | 8,6 l/100 km (komb.)"
Audi,7970,147.000 km,Schaltgetriebe,03/2010,Benzin,92 kW (125 PS),142 g/km (komb.) | 6 l/100 km (komb.)
Mercedes-Benz,17998,169.900 km,Automatik,02/2014,Diesel,150 kW (204 PS),183 g/km (komb.) | 7 l/100 km (komb.)
Volkswagen,8880,147.001 km,Automatik,03/2012,Benzin,63 kW (86 PS),"135 g/km (komb.) | 5,8 l/100 km (komb.)"
Audi,20412,42.290 km,Schaltgetriebe,11/2017,Benzin,140 kW (190 PS),- (g/km)
BMW,18900,150.100 km,Automatik,03/2017,Diesel,140 kW (190 PS),"130 g/km (komb.) | 4,9 l/100 km (komb.)"
Kia,17900,50.200 km,Schaltgetriebe,05/2018,Benzin,97 kW (132 PS),"156 g/km (komb.) | 6,7 l/100 km (komb.)"
Audi,24900,82.900 km,Automatik,01/2018,Benzin,185 kW (252 PS),"142 g/km (komb.) | 6,1 l/100 km (komb.)"
